UP_CP,Next_DS_CP,ChLosFac,LAT,LONG
391501,368801,0.0330,34.169441810000002,-101.650000000000006
398501,BSLU07,0.0000,33.559487670000003,-101.799999999999997
398501,LAKE07,0.0000,33.559487670000003,-101.799999999999997
398551,398501,0.0000,33.561007810000000,-101.799999999999997
P40351,540501,0.0330,34.165196969999997,-101.620000000000005
403551,540501,0.0000,34.164688830000003,-101.620000000000005
P41461,4146P1,0.0000,33.062970040000003,-101.040000000000006
4146P1,W12411,0.0360,33.062970040000003,-101.040000000000006
4146P1,W12411,0.0360,33.062970040000003,-101.040000000000006
P51621,5162P1,0.0000,33.108549210000000,-100.239999999999995
5162P1,CON010,0.0000,33.108549210000000,-100.239999999999995
528201,372401,0.0950,33.021961439999998,-100.129999999999995
P53591,CON159,0.0000,32.994856870000000,-101.370000000000005
535951,CON159,0.0000,32.993340600000003,-101.370000000000005
540501,CON248,0.5060,34.156455309999998,-101.590000000000003
381301,368201,0.0000,34.274282579999998,-101.959999999999994
368101,368131,0.0000,34.276072960000000,-101.989999999999995
368131,381301,0.0000,34.276072960000000,-101.989999999999995
368201,368231,0.0000,34.241045170000000,-101.879999999999995
368231,368301,0.0000,34.241045170000000,-101.879999999999995
368301,368331,0.0000,34.202753710000003,-101.840000000000003
368331,RWPL01,0.0000,34.202753710000003,-101.840000000000003
368401,368431,0.0000,34.232481139999997,-101.810000000000002
368431,368501,0.0000,34.232481139999997,-101.810000000000002
368501,368531,0.0000,34.206953849999998,-101.799999999999997
368531,RWPL01,0.0000,34.206953849999998,-101.799999999999997
368601,368703,0.0650,34.169367829999999,-101.680000000000007
368701,391501,0.0000,34.168908150000000,-101.650000000000006
368702,368701,0.0000,34.166532439999997,-101.650000000000006
368703,368702,0.0000,34.167239379999998,-101.659999999999997
368801,P40351,0.0650,34.169518210000000,-101.640000000000001
368901,368931,0.0000,33.909791630000001,-101.650000000000006
368931,369001,0.0000,33.909791630000001,-101.650000000000006
369001,CON001,0.0000,33.867151020000001,-101.489999999999995
369101,369131,0.0000,33.756656180000000,-101.319999999999993
369131,CON001,0.0000,33.756656180000000,-101.319999999999993
369151,CON001,0.0000,33.756656180000000,-101.319999999999993
369201,369231,0.0000,33.665692720000003,-101.159999999999997
369231,W12402,0.4310,33.665692720000003,-101.159999999999997
369301,369331,0.0000,33.458304529999999,-101.079999999999998
369331,WRSP02,0.0000,33.458304529999999,-101.079999999999998
369351,W12392,0.0000,33.458304529999999,-101.079999999999998
369401,369431,0.0000,33.432406030000003,-101.349999999999994
369431,CON004,0.0000,33.432406030000003,-101.349999999999994
369601,369631,0.0000,33.644006490000002,-100.900000000000006
369631,DUGI03,0.0000,33.644006490000002,-100.900000000000006
369651,DUGI03,0.0000,33.637573660000001,-100.900000000000006
